CustomerID,Recency,Frequency,Monetary,R_Rank,R_Score,F_Rank,F_Score,M_Rank,M_Score,RFM_Score,Customer_Segment
12405,149,1,1710.39,1047.0,2,19.0,1,3284.0,4,214,06 - Lost/Others (Hilang/Lainnya)
12406,22,2,3415.3,3035.0,4,1505.0,2,3861.0,5,425,06 - Lost/Others (Hilang/Lainnya)
12407,50,5,1708.1200000000001,2182.0,3,3227.0,4,3282.0,4,344,02 - Loyal Customers (Setia)
12408,33,5,2888.55,2568.0,3,3228.0,4,3759.0,5,345,06 - Lost/Others (Hilang/Lainnya)
12409,79,3,11072.67,1579.0,2,2332.0,3,4251.0,5,235,06 - Lost/Others (Hilang/Lainnya)
12410,309,2,693.3299999999999,234.0,1,1506.0,2,2213.0,3,123,06 - Lost/Others (Hilang/Lainnya)
12412,75,3,1226.88,1643.0,2,2333.0,3,2914.0,4,234,04 - Need Attention (Butuh Perhatian)
12413,67,3,758.1,1796.0,3,2334.0,3,2334.0,3,333,06 - Lost/Others (Hilang/Lainnya)
12414,217,3,562.41,660.0,1,2335.0,3,1902.0,3,133,05 - At Risk (Berisiko Hilang)
12415,24,21,124914.53,2924.0,4,4244.0,5,4333.0,5,455,01 - Champions (Terbaik)
12417,3,9,3649.1,4072.0,5,3880.0,5,3905.0,5,555,01 - Champions (Terbaik)
12418,113,1,668.58,1266.0,2,20.0,1,2162.0,3,213,06 - Lost/Others (Hilang/Lainnya)
12420,64,1,600.39,1864.0,3,21.0,1,1990.0,3,313,06 - Lost/Others (Hilang/Lainnya)
12421,16,4,807.04,3337.0,4,2844.0,4,2418.0,3,443,06 - Lost/Others (Hilang/Lainnya)
12422,96,3,803.5600000000001,1386.0,2,2336.0,3,2412.0,3,233,04 - Need Attention (Butuh Perhatian)
12423,1,8,1859.31,4246.0,5,3783.0,5,3374.0,4,554,01 - Champions (Terbaik)
12424,163,2,1760.96,962.0,2,1507.0,2,3307.0,4,224,06 - Lost/Others (Hilang/Lainnya)
12425,78,1,777.2,1598.0,2,22.0,1,2365.0,3,213,06 - Lost/Others (Hilang/Lainnya)
12426,195,1,582.73,777.0,1,23.0,1,1944.0,3,113,06 - Lost/Others (Hilang/Lainnya)
12427,22,3,825.8,3036.0,4,2337.0,3,2446.0,3,433,04 - Need Attention (Butuh Perhatian)
12428,26,9,7956.46,2829.0,4,3881.0,5,4201.0,5,455,01 - Champions (Terbaik)
12429,9,4,3750.4,3690.0,5,2845.0,4,3928.0,5,545,01 - Champions (Terbaik)
12430,43,1,256.4,2329.0,3,24.0,1,895.0,2,312,05 - At Risk (Berisiko Hilang)
12431,36,15,6487.45,2502.0,3,4149.0,5,4150.0,5,355,02 - Loyal Customers (Setia)
12432,43,5,5059.32,2330.0,3,3229.0,4,4069.0,5,345,06 - Lost/Others (Hilang/Lainnya)
12433,1,7,13375.87,4247.0,5,3640.0,5,4271.0,5,555,01 - Champions (Terbaik)
12434,85,2,806.14,1509.0,2,1508.0,2,2415.0,3,223,06 - Lost/Others (Hilang/Lainnya)
12435,80,2,7829.89,1566.0,2,1509.0,2,4195.0,5,225,06 - Lost/Others (Hilang/Lainnya)
12436,100,1,509.01,1360.0,2,25.0,1,1786.0,3,213,06 - Lost/Others (Hilang/Lainnya)
12437,2,18,4951.41,4162.0,5,4206.0,5,4061.0,5,555,01 - Champions (Terbaik)
12438,14,2,2906.85,3455.0,4,1510.0,2,3762.0,5,425,06 - Lost/Others (Hilang/Lainnya)
12441,367,1,173.55,51.0,1,26.0,1,524.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12442,3,1,172.06,4073.0,5,27.0,1,517.0,1,511,03 - New/Promising (Baru/Menjanjikan)
12444,21,5,5005.46,3096.0,4,3230.0,4,4064.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12445,22,1,133.4,3037.0,4,28.0,1,315.0,1,411,03 - New/Promising (Baru/Menjanjikan)
12446,58,1,1002.3100000000001,2005.0,3,29.0,1,2674.0,4,314,06 - Lost/Others (Hilang/Lainnya)
12447,243,1,476.49,531.0,1,30.0,1,1700.0,2,112,05 - At Risk (Berisiko Hilang)
12448,44,1,449.45,2304.0,3,31.0,1,1630.0,2,312,05 - At Risk (Berisiko Hilang)
12449,22,4,4067.29,3038.0,4,2846.0,4,3975.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12450,156,2,197.88,1008.0,2,1511.0,2,641.0,1,221,05 - At Risk (Berisiko Hilang)
12451,11,5,9035.52,3544.0,5,3231.0,4,4221.0,5,545,01 - Champions (Terbaik)
12452,17,2,430.57,3273.0,4,1512.0,2,1588.0,2,422,03 - New/Promising (Baru/Menjanjikan)
12453,134,1,707.09,1125.0,2,32.0,1,2247.0,3,213,06 - Lost/Others (Hilang/Lainnya)
12454,56,1,3528.34,2054.0,3,33.0,1,3879.0,5,315,06 - Lost/Others (Hilang/Lainnya)
12455,73,6,2466.86,1693.0,2,3468.0,4,3621.0,5,245,06 - Lost/Others (Hilang/Lainnya)
12456,44,3,3181.04,2305.0,3,2338.0,3,3822.0,5,335,06 - Lost/Others (Hilang/Lainnya)
12457,66,7,2363.23,1813.0,3,3641.0,5,3592.0,5,355,02 - Loyal Customers (Setia)
12458,71,2,947.4,1739.0,3,1513.0,2,2608.0,4,324,06 - Lost/Others (Hilang/Lainnya)
12461,94,2,826.88,1414.0,2,1514.0,2,2451.0,3,223,06 - Lost/Others (Hilang/Lainnya)
12462,19,2,1189.59,3153.0,4,1515.0,2,2883.0,4,424,06 - Lost/Others (Hilang/Lainnya)
12463,53,4,1344.78,2091.0,3,2847.0,4,3028.0,4,344,02 - Loyal Customers (Setia)
12464,10,8,1212.05,3617.0,5,3784.0,5,2901.0,4,554,01 - Champions (Terbaik)
12465,17,2,742.1899999999999,3274.0,4,1516.0,2,2309.0,3,423,06 - Lost/Others (Hilang/Lainnya)
12468,188,2,729.5400000000001,813.0,1,1517.0,2,2288.0,3,123,06 - Lost/Others (Hilang/Lainnya)
12471,2,30,19824.05,4163.0,5,4293.0,5,4294.0,5,555,01 - Champions (Terbaik)
12472,32,7,6572.11,2609.0,4,3642.0,5,4152.0,5,455,01 - Champions (Terbaik)
12473,29,5,3938.5499999999997,2733.0,4,3232.0,4,3953.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12474,17,18,7375.79,3275.0,4,4207.0,5,4189.0,5,455,01 - Champions (Terbaik)
12475,54,1,723.38,2071.0,3,34.0,1,2278.0,3,313,06 - Lost/Others (Hilang/Lainnya)
12476,16,11,6816.42,3338.0,4,4002.0,5,4167.0,5,455,01 - Champions (Terbaik)
12477,23,6,13219.74,2975.0,4,3469.0,4,4269.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12478,4,1,680.99,3961.0,5,35.0,1,2188.0,3,513,06 - Lost/Others (Hilang/Lainnya)
12479,11,1,527.2,3545.0,5,36.0,1,1824.0,3,513,06 - Lost/Others (Hilang/Lainnya)
12480,28,4,3281.63,2788.0,4,2848.0,4,3839.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12481,23,10,5596.32,2976.0,4,3949.0,5,4106.0,5,455,01 - Champions (Terbaik)
12483,17,8,2484.98,3276.0,4,3785.0,5,3632.0,5,455,01 - Champions (Terbaik)
12484,33,6,4541.72,2569.0,3,3470.0,4,4027.0,5,345,06 - Lost/Others (Hilang/Lainnya)
12488,10,3,1298.66,3618.0,5,2339.0,3,2981.0,4,534,06 - Lost/Others (Hilang/Lainnya)
12489,336,1,334.93,128.0,1,37.0,1,1232.0,2,112,05 - At Risk (Berisiko Hilang)
12490,5,10,5417.93,3898.0,5,3950.0,5,4095.0,5,555,01 - Champions (Terbaik)
12491,39,1,460.40000000000003,2420.0,3,38.0,1,1660.0,2,312,05 - At Risk (Berisiko Hilang)
12492,63,2,263.21000000000004,1907.0,3,1518.0,2,914.0,2,322,04 - Need Attention (Butuh Perhatian)
12493,166,2,433.74,945.0,2,1519.0,2,1595.0,2,222,04 - Need Attention (Butuh Perhatian)
12494,16,7,1246.1000000000001,3339.0,4,3643.0,5,2933.0,4,454,02 - Loyal Customers (Setia)
12497,82,1,1043.1,1536.0,2,39.0,1,2727.0,4,214,06 - Lost/Others (Hilang/Lainnya)
12498,21,3,403.70000000000005,3097.0,4,2340.0,3,1492.0,2,432,06 - Lost/Others (Hilang/Lainnya)
12500,23,11,4257.82,2977.0,4,4003.0,5,3999.0,5,455,01 - Champions (Terbaik)
12501,337,1,2169.39,124.0,1,40.0,1,3521.0,5,115,06 - Lost/Others (Hilang/Lainnya)
12502,96,5,3723.87,1387.0,2,3233.0,4,3921.0,5,245,06 - Lost/Others (Hilang/Lainnya)
12504,18,2,482.04999999999995,3214.0,4,1520.0,2,1711.0,2,422,03 - New/Promising (Baru/Menjanjikan)
12506,233,1,73.5,595.0,1,41.0,1,77.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12507,134,3,1304.81,1126.0,2,2341.0,3,2988.0,4,234,04 - Need Attention (Butuh Perhatian)
12508,26,2,398.27,2830.0,4,1521.0,2,1478.0,2,422,03 - New/Promising (Baru/Menjanjikan)
12509,284,1,176.5,319.0,1,42.0,1,538.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12510,143,2,982.5699999999999,1077.0,2,1522.0,2,2656.0,4,224,06 - Lost/Others (Hilang/Lainnya)
12512,66,2,138.03,1814.0,3,1523.0,2,344.0,1,321,06 - Lost/Others (Hilang/Lainnya)
12513,113,1,612.29,1267.0,2,43.0,1,2025.0,3,213,06 - Lost/Others (Hilang/Lainnya)
12514,267,1,1017.68,402.0,1,44.0,1,2693.0,4,114,06 - Lost/Others (Hilang/Lainnya)
12515,353,1,383.7,114.0,1,45.0,1,1423.0,2,112,05 - At Risk (Berisiko Hilang)
12516,78,2,1312.06,1599.0,2,1524.0,2,2995.0,4,224,06 - Lost/Others (Hilang/Lainnya)
12517,28,5,2502.84,2789.0,4,3234.0,4,3635.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12518,1,5,2056.89,4248.0,5,3235.0,4,3470.0,4,544,01 - Champions (Terbaik)
12519,64,1,340.84,1865.0,3,46.0,1,1255.0,2,312,05 - At Risk (Berisiko Hilang)
12520,79,5,2634.26,1580.0,2,3236.0,4,3683.0,5,245,06 - Lost/Others (Hilang/Lainnya)
12521,143,1,599.68,1078.0,2,47.0,1,1986.0,3,213,06 - Lost/Others (Hilang/Lainnya)
12522,39,2,192.72,2421.0,3,1525.0,2,611.0,1,321,06 - Lost/Others (Hilang/Lainnya)
12523,19,11,1789.77,3154.0,4,4004.0,5,3327.0,4,454,02 - Loyal Customers (Setia)
12524,9,8,4485.72,3691.0,5,3786.0,5,4023.0,5,555,01 - Champions (Terbaik)
12526,1,3,1316.66,4249.0,5,2342.0,3,3004.0,4,534,06 - Lost/Others (Hilang/Lainnya)
12527,82,3,348.71000000000004,1537.0,2,2343.0,3,1284.0,2,232,06 - Lost/Others (Hilang/Lainnya)
12528,9,6,1933.48,3692.0,5,3471.0,5,3409.0,4,554,01 - Champions (Terbaik)
12530,60,4,1662.28,1943.0,3,2849.0,4,3255.0,4,344,02 - Loyal Customers (Setia)
12531,15,1,125.22,3398.0,4,48.0,1,287.0,1,411,03 - New/Promising (Baru/Menjanjikan)
12532,30,1,349.83000000000004,2691.0,4,49.0,1,1292.0,2,412,03 - New/Promising (Baru/Menjanjikan)
12534,131,1,1089.18,1148.0,2,50.0,1,2787.0,4,214,06 - Lost/Others (Hilang/Lainnya)
12535,92,2,716.35,1433.0,2,1526.0,2,2269.0,3,223,06 - Lost/Others (Hilang/Lainnya)
12536,43,3,12601.830000000002,2331.0,3,2344.0,3,4264.0,5,335,06 - Lost/Others (Hilang/Lainnya)
12538,29,1,363.95,2734.0,4,51.0,1,1352.0,2,412,03 - New/Promising (Baru/Menjanjikan)
12539,22,4,5568.35,3039.0,4,2850.0,4,4102.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12540,20,17,13400.24,3124.0,4,4188.0,5,4272.0,5,455,01 - Champions (Terbaik)
12541,30,3,981.18,2692.0,4,2345.0,3,2649.0,4,434,02 - Loyal Customers (Setia)
12544,36,1,372.7,2503.0,3,52.0,1,1378.0,2,312,05 - At Risk (Berisiko Hilang)
12545,75,2,1000.39,1644.0,2,1527.0,2,2673.0,4,224,06 - Lost/Others (Hilang/Lainnya)
12546,47,2,1161.5,2227.0,3,1528.0,2,2865.0,4,324,06 - Lost/Others (Hilang/Lainnya)
12547,198,2,207.79999999999998,757.0,1,1529.0,2,689.0,1,121,05 - At Risk (Berisiko Hilang)
12548,166,1,95.19999999999999,946.0,2,53.0,1,142.0,1,211,06 - Lost/Others (Hilang/Lainnya)
12550,79,1,964.83,1581.0,2,54.0,1,2628.0,4,214,06 - Lost/Others (Hilang/Lainnya)
12551,358,1,168.0,100.0,1,55.0,1,494.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12552,39,2,437.82,2422.0,3,1530.0,2,1604.0,2,322,04 - Need Attention (Butuh Perhatian)
12553,8,10,3692.28,3758.0,5,3951.0,5,3911.0,5,555,01 - Champions (Terbaik)
12556,50,2,603.71,2183.0,3,1531.0,2,1998.0,3,323,06 - Lost/Others (Hilang/Lainnya)
12557,16,5,11990.960000000001,3340.0,4,3237.0,4,4257.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12558,8,1,269.96,3759.0,5,56.0,1,933.0,2,512,03 - New/Promising (Baru/Menjanjikan)
12559,311,2,561.71,221.0,1,1532.0,2,1901.0,3,123,06 - Lost/Others (Hilang/Lainnya)
12560,5,3,2134.01,3899.0,5,2346.0,3,3510.0,5,535,06 - Lost/Others (Hilang/Lainnya)
12561,303,1,238.85,256.0,1,57.0,1,820.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12562,8,7,3781.7400000000002,3760.0,5,3644.0,5,3931.0,5,555,01 - Champions (Terbaik)
12564,261,1,456.9,448.0,1,58.0,1,1649.0,2,112,05 - At Risk (Berisiko Hilang)
12565,289,1,145.92,301.0,1,59.0,1,377.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12566,86,1,351.65,1497.0,2,60.0,1,1301.0,2,212,05 - At Risk (Berisiko Hilang)
12567,23,10,9401.28,2978.0,4,3952.0,5,4226.0,5,455,01 - Champions (Terbaik)
12569,2,32,4124.69,4164.0,5,4300.0,5,3983.0,5,555,01 - Champions (Terbaik)
12571,40,2,519.61,2388.0,3,1533.0,2,1808.0,3,323,06 - Lost/Others (Hilang/Lainnya)
12572,9,2,1020.42,3693.0,5,1534.0,2,2698.0,4,524,06 - Lost/Others (Hilang/Lainnya)
12573,227,1,160.54000000000002,610.0,1,61.0,1,455.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12574,316,1,218.45,199.0,1,62.0,1,739.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12576,36,5,1315.83,2504.0,3,3238.0,4,3002.0,4,344,02 - Loyal Customers (Setia)
12577,35,3,657.8,2536.0,3,2347.0,3,2131.0,3,333,06 - Lost/Others (Hilang/Lainnya)
12578,21,2,2794.51,3098.0,4,1535.0,2,3730.0,5,425,06 - Lost/Others (Hilang/Lainnya)
12579,78,1,440.42,1600.0,2,63.0,1,1614.0,2,212,05 - At Risk (Berisiko Hilang)
12580,247,1,415.7,510.0,1,64.0,1,1533.0,2,112,05 - At Risk (Berisiko Hilang)
12581,40,1,197.71,2389.0,3,65.0,1,640.0,1,311,03 - New/Promising (Baru/Menjanjikan)
12582,239,2,511.36,555.0,1,1536.0,2,1791.0,3,123,06 - Lost/Others (Hilang/Lainnya)
12583,3,15,7281.38,4074.0,5,4150.0,5,4185.0,5,555,01 - Champions (Terbaik)
12584,4,9,2338.15,3962.0,5,3882.0,5,3584.0,5,555,01 - Champions (Terbaik)
12585,234,2,2040.1,587.0,1,1537.0,2,3457.0,4,124,06 - Lost/Others (Hilang/Lainnya)
12586,17,1,196.94000000000003,3277.0,4,66.0,1,633.0,1,411,03 - New/Promising (Baru/Menjanjikan)
12587,8,1,144.0,3761.0,5,67.0,1,367.0,1,511,03 - New/Promising (Baru/Menjanjikan)
12588,39,1,214.89999999999998,2423.0,3,68.0,1,716.0,1,311,03 - New/Promising (Baru/Menjanjikan)
12589,29,2,646.68,2735.0,4,1538.0,2,2107.0,3,423,06 - Lost/Others (Hilang/Lainnya)
12590,211,2,9864.26,699.0,1,1539.0,2,4234.0,5,125,06 - Lost/Others (Hilang/Lainnya)
12591,317,1,452.84999999999997,195.0,1,69.0,1,1637.0,2,112,05 - At Risk (Berisiko Hilang)
12592,92,2,437.6,1434.0,2,1540.0,2,1602.0,2,222,04 - Need Attention (Butuh Perhatian)
12593,109,3,418.09999999999997,1292.0,2,2348.0,3,1549.0,2,232,06 - Lost/Others (Hilang/Lainnya)
12594,38,10,3338.2200000000003,2449.0,3,3953.0,5,3845.0,5,355,02 - Loyal Customers (Setia)
12596,51,2,618.27,2152.0,3,1541.0,2,2037.0,3,323,06 - Lost/Others (Hilang/Lainnya)
12597,19,4,3811.22,3155.0,4,2851.0,4,3938.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12598,10,8,3023.08,3619.0,5,3787.0,5,3788.0,5,555,01 - Champions (Terbaik)
12599,29,7,1032.58,2736.0,4,3645.0,5,2715.0,4,454,02 - Loyal Customers (Setia)
12600,29,10,2599.04,2737.0,4,3954.0,5,3663.0,5,455,01 - Champions (Terbaik)
12601,190,5,577.0600000000001,799.0,1,3239.0,4,1935.0,3,143,06 - Lost/Others (Hilang/Lainnya)
12602,59,1,153.12,1975.0,3,70.0,1,414.0,1,311,03 - New/Promising (Baru/Menjanjikan)
12603,22,1,739.1999999999999,3040.0,4,71.0,1,2303.0,3,413,06 - Lost/Others (Hilang/Lainnya)
12604,79,2,254.18,1582.0,2,1542.0,2,887.0,2,222,04 - Need Attention (Butuh Perhatian)
12607,60,1,1579.51,1944.0,3,72.0,1,3199.0,4,314,06 - Lost/Others (Hilang/Lainnya)
12609,78,3,1126.85,1601.0,2,2349.0,3,2831.0,4,234,04 - Need Attention (Butuh Perhatian)
12610,23,5,2099.54,2979.0,4,3240.0,4,3491.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12611,52,1,1193.32,2119.0,3,73.0,1,2885.0,4,314,06 - Lost/Others (Hilang/Lainnya)
12612,74,1,704.0400000000001,1665.0,2,74.0,1,2238.0,3,213,06 - Lost/Others (Hilang/Lainnya)
12613,57,5,3344.38,2023.0,3,3241.0,4,3846.0,5,345,06 - Lost/Others (Hilang/Lainnya)
12614,278,1,315.6,351.0,1,75.0,1,1139.0,2,112,05 - At Risk (Berisiko Hilang)
12615,2,4,2291.19,4165.0,5,2852.0,4,3565.0,5,545,01 - Champions (Terbaik)
12616,95,2,713.3,1403.0,2,1543.0,2,2264.0,3,223,06 - Lost/Others (Hilang/Lainnya)
12617,29,1,355.53,2738.0,4,76.0,1,1318.0,2,412,03 - New/Promising (Baru/Menjanjikan)
12618,22,1,177.31,3041.0,4,77.0,1,543.0,1,411,03 - New/Promising (Baru/Menjanjikan)
12619,16,9,3641.24,3341.0,4,3883.0,5,3902.0,5,455,01 - Champions (Terbaik)
12620,15,3,1339.41,3399.0,4,2350.0,3,3020.0,4,434,02 - Loyal Customers (Setia)
12621,2,20,13689.67,4166.0,5,4232.0,5,4273.0,5,555,01 - Champions (Terbaik)
12622,232,1,180.1,601.0,1,78.0,1,559.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12623,276,1,305.1,363.0,1,79.0,1,1068.0,2,112,05 - At Risk (Berisiko Hilang)
12624,106,2,641.13,1328.0,2,1544.0,2,2094.0,3,223,06 - Lost/Others (Hilang/Lainnya)
12625,212,2,2683.82,687.0,1,1545.0,2,3699.0,5,125,06 - Lost/Others (Hilang/Lainnya)
12626,23,9,6620.48,2980.0,4,3884.0,5,4155.0,5,455,01 - Champions (Terbaik)
12627,11,7,4478.53,3546.0,5,3646.0,5,4019.0,5,555,01 - Champions (Terbaik)
12628,4,3,786.46,3963.0,5,2351.0,3,2386.0,3,533,06 - Lost/Others (Hilang/Lainnya)
12630,10,2,1270.88,3620.0,5,1546.0,2,2961.0,4,524,06 - Lost/Others (Hilang/Lainnya)
12631,57,1,640.5,2024.0,3,80.0,1,2091.0,3,313,06 - Lost/Others (Hilang/Lainnya)
12633,59,4,2163.98,1976.0,3,2853.0,4,3520.0,5,345,06 - Lost/Others (Hilang/Lainnya)
12635,90,2,1689.18,1450.0,2,1547.0,2,3264.0,4,224,06 - Lost/Others (Hilang/Lainnya)
12637,67,8,6021.9,1797.0,3,3788.0,5,4131.0,5,355,02 - Loyal Customers (Setia)
12638,33,1,671.69,2570.0,3,81.0,1,2164.0,3,313,06 - Lost/Others (Hilang/Lainnya)
12639,239,1,486.1,556.0,1,82.0,1,1724.0,2,112,05 - At Risk (Berisiko Hilang)
12640,24,3,1174.58,2925.0,4,2352.0,3,2876.0,4,434,02 - Loyal Customers (Setia)
12641,115,1,185.9,1252.0,2,83.0,1,584.0,1,211,06 - Lost/Others (Hilang/Lainnya)
12642,25,3,1013.26,2876.0,4,2353.0,3,2690.0,4,434,02 - Loyal Customers (Setia)
12643,128,6,3344.64,1170.0,2,3472.0,5,3847.0,5,255,06 - Lost/Others (Hilang/Lainnya)
12644,130,1,477.91,1155.0,2,84.0,1,1703.0,2,212,05 - At Risk (Berisiko Hilang)
12645,34,4,1775.18,2552.0,3,2854.0,4,3317.0,4,344,02 - Loyal Customers (Setia)
12646,5,2,1346.97,3900.0,5,1548.0,2,3031.0,4,524,06 - Lost/Others (Hilang/Lainnya)
12647,22,12,3722.82,3042.0,4,4055.0,5,3920.0,5,455,01 - Champions (Terbaik)
12648,155,1,318.05,1014.0,2,85.0,1,1154.0,2,212,05 - At Risk (Berisiko Hilang)
12649,107,3,623.51,1310.0,2,2354.0,3,2056.0,3,233,04 - Need Attention (Butuh Perhatian)
12650,3,1,314.44,4075.0,5,86.0,1,1134.0,2,512,03 - New/Promising (Baru/Menjanjikan)
12651,335,1,114.0,131.0,1,87.0,1,232.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12652,331,1,919.98,145.0,1,88.0,1,2575.0,3,113,06 - Lost/Others (Hilang/Lainnya)
12653,149,2,2209.85,1048.0,2,1549.0,2,3533.0,5,225,06 - Lost/Others (Hilang/Lainnya)
12654,11,5,601.98,3547.0,5,3242.0,4,1993.0,3,543,02 - Loyal Customers (Setia)
12656,17,5,4051.17,3278.0,4,3243.0,4,3972.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12657,11,4,1643.18,3548.0,5,2855.0,4,3241.0,4,544,01 - Champions (Terbaik)
